epoch,train_loss,train_acc,val_loss,val_acc
1,1.0839362769873586,0.6599251973957612,0.9058334168476536,0.7596355128678733
2,0.8323726030401605,0.8139631527912453,0.8349036019051872,0.8050732668390591
3,0.7268208278047305,0.8759446522294563,0.7838899794873779,0.8400443295160693
4,0.6593390200922693,0.9151929322313033,0.7287561001558636,0.8639330131757172
5,0.6107086148417762,0.9437441319973527,0.7315342954602269,0.86799655214875
6,0.5715197364494742,0.966138738821936,0.7388663413914799,0.864548700898904
7,0.5448830136302965,0.9797755921872836,0.6866498517294322,0.895333087058244
8,0.5079466112071441,0.9960289975527543,0.625134398455456,0.9240241349587488
9,0.5002747198476172,0.9984454602822799,0.6205428788527202,0.9248860977712103
10,0.49703460972418945,0.9991842514352558,0.6187511379092568,0.9268562984854081
11,0.4946223327216922,0.9993689492234997,0.6190260798821615,0.9242704100480236
12,0.49270751643585603,0.9994766895999754,0.620838464414702,0.9237778598694741
13,0.4909612248943518,0.9996921703529268,0.6202355335607507,0.9248860977712103
14,0.4893030683863765,0.999630604423512,0.6201994453300295,0.9242704100480236
15,0.4867408785937655,0.9998614766588171,0.6161890902435262,0.9264868858514961
16,0.48653061738885167,0.9999076511058781,0.6159796080717297,0.9256249230390345
17,0.48633491878779533,0.9998922596235243,0.616256304686182,0.9255017854943972
18,0.48596725122125084,0.9999230425882317,0.6163313981201126,0.9258711981283092
19,0.48595552592178376,0.9999230425882317,0.6170791851198596,0.9266100233961334
20,0.48562515283221364,0.9999076511058781,0.6162629290734469,0.9263637483068586
